Course Code,Course Name,Course Description,Hub Units,Prerequisites,Credits,link
COM JO 150,Hist/Prin of Jo,This course description is currently under construction., Historical Consciousness,None,4,https://www.bu.edu//academics/com/courses/com-jo-150/
COM JO 200,Newswriting,"Students acquire fundamental newsgathering and writing skills needed to  thrive as a journalist  working in any platform. The course is based in the  classroom, but students are expected to  learn and adhere to professional  newsroom standards. The course focuses on essential  practices and principles  that apply to reporters, photographers, bloggers, producers and  editors at  newspapers, magazines, radio, television and online media. The class  emphasizes  news judgment, storytelling and reporting skills as well as  writing clearly and quickly. Effective  Fall 2019, this course fulfills a single unit in each of  the following BU Hub areas: Writing- Intensive Course, Critical Thinking,  Research and Information Literacy.", Critical Thinking Research and Information Literacy Writing-Intensive Course,"First Year Writing Seminar (e.g., WR 100 or WR 120) and COM CO201.",4,https://www.bu.edu//academics/com/courses/com-jo-200/
COM JO 205,Visual Storytelling,"Required of journalism majors. An introductory course designed to provide   students with a  basic working knowledge of the media required for   professional journalism, including  photography, sound, video, and editing   for production of multimedia packages. No previous  experience in visual   media is required. Effective Fall 2019, this course fulfills a single unit in  the following BU   Hub areas: Digital/Multimedia Expression, Creativity/Innovation.", Digital/Multimedia Expression Creativity/Innovation,None,4,https://www.bu.edu//academics/com/courses/com-jo-205/
COM JO 210,Reporting in Depth,"In J0210 you will learn and practice in-depth reporting in a community. You   will develop sources, walk the streets, cover a beat, attend meetings, shoot   photos and provide readers with public interest journalism. This is a   working newsroom. Effective Fall 2019, this course fulfills a single unit in   each of the following BU Hub areas: The Individual in Community, Writing-  Intensive Course, Research and Information Literacy.", The Individual in Community Research and Information Literacy Writing-Intensive Course,JO 200 and JO 205,4,https://www.bu.edu//academics/com/courses/com-jo-210/
COM JO 300,Media & Democracy - Journalism in an Age of Disinformation,"This course is for anyone who reads the news or produces it, for those who  want accurate information and those who want to provide it. Students will  gain a true-north understanding of the role of the free press in a  democracy, the rise and allure of online fake news, and how empowered  individuals and the news media can push back against this 21st century  threat to freedom.  Effective Spring 2021, this course fulfills a single  unit in each of the following BU Hub areas: Ethical Reasoning, The  Individual in Community, Research and Information Literacy.", The Individual in Community Ethical Reasoning Research and Information Literacy,JO150 and at least junior standing.,4,https://www.bu.edu//academics/com/courses/com-jo-300/
COM JO 309,Feature Writing,"The course invites students to refine their reporting and writing skills in projects that will  showcase their mastery of the craft. Projects will span a variety of lengths, deadlines, and  forms. Prerequisites: COM JO 200, 205 and 210. Four credits, fall and spring semesters. ",None,COM JO 210.,4,https://www.bu.edu//academics/com/courses/com-jo-309/
COM JO 312,Photojournalism I,"An introductory course for students interested in pursuing a career in photojournalism and  visual reporting.  Students photograph assignments to the standards of professional news  outlets and advance their skills in digital photography for use on websites and in publications.   Prerequisites: COM JO 205. Four credits, fall and spring semesters. ",None,COM JO 205.,4,https://www.bu.edu//academics/com/courses/com-jo-312/
COM JO 322,Smart Phone Reporting,"This course teaches video journalism- how to identify, research, shoot, write  and edit accurate, compelling news videos on deadline, using smart phones  equipped with Adobe software. Students will become informed citizen journalists  as well as adopt the standards and skill sets of professional mobile, multimedia  journalists. Smart Phone Reporting teaches news and visual literacy, multimedia  expression and applied writing skills to non- journalism majors while also  training students to acquire a multimedia skill set required to become  journalists.  Effective Fall 2019, this course fulfills a single unit in each of  the following BU Hub areas: Digital/Multimedia Expression, Writing-Intensive  Course, Research and Information Literacy.", Digital/Multimedia Expression Research and Information Literacy Writing-Intensive Course,JO200,4,https://www.bu.edu//academics/com/courses/com-jo-322/
COM JO 350,Law and Ethics of Journalism,"This interactive course introduces the core legal and ethical issues  affecting how journalists,  including the student press, gather, verify and  communicate news. This course offers an  exciting deep-dive into the key  concepts affecting newsgathering and dissemination  today.Students will  discover the underpinnings of a free press as well as practical tools to use   when confronted with government efforts to block legitimate newsgathering.  Students will gain  a working knowledge of how and why the First Amendment  protects them as they gather,  verify and disseminate the news. Effective Fall 2019, this course  fulfills a single unit in each of  the following BU Hub areas: Social Inquiry  II, Ethical Reasoning, Research and Information  Literacy.", Ethical Reasoning Social Inquiry II Research and Information Literacy,None,4,https://www.bu.edu//academics/com/courses/com-jo-350/
COM JO 351,Reporting With Audio and Video,"Learn how to find, write, shoot, and edit news packages, broadcast on   television or the  internet. Taught by veteran journalists in a newsroom   complete with the latest digital  technologies. Four credits, fall and spring semesters. (Prerequisites: COM JO 200 and 205.)",None,JO200 and JO205,4,https://www.bu.edu//academics/com/courses/com-jo-351/
