Course Code,Course Name,Course Description,Hub Units,Prerequisites,Credits,link
COM EM 700,Introduction to Emerging Media Studies,"Drawing on scientific research and relevant news & industry examples this course  will examine topics related to new media and communication technologies. The  first portion of the course will explore key dimensions related to new  communication technology. The latter portion will include deep dives into  particular media technologies (ranging from smart phones and laptops to newer,  emerging media formats such as social games, mobile virtual reality, and  wearable sensors), each characterized to varying extents by these dimensions.  Throughout the course we will explore relevant theoretical concepts and  processes related to new media and communication technologies. Along the way we  will identify patterns of media usage and, in turn, review the psychological  effects and social consequences of that usage. Additionally, we will consider  the larger context in which these technologies -- and the means for empirically  studying their use and effects -- have developed.",None,None,4,https://www.bu.edu//academics/com/courses/com-em-700/
COM EM 747,Trending Insights: Social Data Analysis and Visualization,"This course familiarizes students with social -scientific methods for large  scale data analysis and visualization, including the application of relevant  user and concept networks, time and spatial models, sentiment mapping, and  comparison of matrices.  In addition, the use of germane software in emerging  and digital media research is developed.  Most importantly, however, this course  has a dual structure where students learn to not only carry our advanced  analyses of large datasets, they also engage with how to visually represent with  a wide-ranging skillset to scrape data, mine data, and present data in fields of  specific areas of inquiry.",None,None,4,https://www.bu.edu//academics/com/courses/com-em-747/
COM EM 755,Measuring Media Effects,"EM 755 provides training in the logic, design, and implementation of  experimental research methods for measuring media effects on individual users.  The course includes a practicum component, in which students employ biometric  research tools in the Communication Research Center (CRC) to conduct original  research on the use and effects of emerging media technologies. To this end, the  course will consist of a combination of regular class meetings and laboratory  activity. By the end of this workshop course, students will have a sound  understanding of the underlying rationale and purpose of experimental research  and hands-on experience completing data collection and analysis related to media  processing and effects.",None,None,4,https://www.bu.edu//academics/com/courses/com-em-755/
COM EM 757,User-Producers 2.0: Developing Interactivity,"The shift in medial production toward dynamic user-production is harnessed in  this  class. Students will evaluate and critique prevailing practices in co- creative  media output as well as become proficient in developing online media  with cutting  edge and open source software tools.  Technical aspects of this  class include HTML, CSS, and Wordpress, as well as audience interfaces and  analytics. ",None,None,4,https://www.bu.edu//academics/com/courses/com-em-757/
COM EM 777,Masters Collaboratory Project,"This year long course introduces students to the theories, method and    conventions of applied research in communication and the social sciences.  It    aims to do this through reading, practical applications and in-class    discussions.  Students will have the opportunity to work with local organization    (the ""project sponsor"") in the Boston area to design and implement a research    project.  Throughout the process, students will work closely with their peers,    the sponsor and the course instructors to develop the project and to evaluate    work in progress.",None,None,4,https://www.bu.edu//academics/com/courses/com-em-777/
COM EM 793,Psychology of Emerging Media,"This course examines the psychological aspects of emerging media. Theories and  empirical  research from communication, psychology, and human-computer studies  will be used to explore:  psychological responses to new media technologies;  uses and effects of technological features,  such as agency, navigability, and  modality, on users' thoughts, emotions, and behaviors; the  nature and dynamic  of interpersonal and group interaction when mediated by new media   technologies; cognitive and emotional processing of new media; issues of  source, self, and  privacy altered by new media.",None,None,4,https://www.bu.edu//academics/com/courses/com-em-793/
COM EM 797,"Connecting Humans: Networks, History and Social Media","This course offers a critical survey of the cultural, social, and political  impacts of emerging  communication technologies, as they have advanced over  time to contemporarily include online,  mobile and social media. Special  attention will be paid to networks and their relationship to the  ways  individuals, groups and organizations communicate within society. Our work  here situates  the changing nature of networks in media from broadcast  network models to social network ones.   As such, it is both historically  informed and theoretically inclusive.  An important component of  study also  incorporates an immersive social network experience as part of this class,  which is to  say that the class becomes its own online social network and  students are peer collaborators.",None,None,4,https://www.bu.edu//academics/com/courses/com-em-797/
COM EM 808,Upper-level Seminar,"The seminar will aim to enhance the core competencies in the areas of teaching,  project management and leadership, communication, and self-awareness. Further,  it will aim to add new perspectives in the areas of research skills and  discipline-specific knowledge.   Designed to develop and refine professional skills among graduate students.   This course entails reflexive consideration of teaching practices and praxis,   methods of professionalization, skills for success in the academic and non-  academic intellectual environments, and effective self-presentation in higher-  level settings. Additionally, on an intermittent basis, researchers and   speakers from a variety of backgrounds present their views about research,   theory, and professional achievement.",None,None,2,https://www.bu.edu//academics/com/courses/com-em-808/
COM EM 831,"Critical Studies, History and Philosophy of Emerging Media","This course develops a high level of sophistication for students in the emerging  media studies field concerning critical studies of emerging media as well as  philosophical perspectives on emerging media.  It aims to do this through  readings, in-class discussions and analytical writing assignments.  Through  group discussion and classroom lecturers and analysis, students will develop a  deeper understanding of the relationship between critical approaches and  philosophical and historical studies of emerging media.  The merits and  limitations of different methodological approaches and intellectual approaches  are probed.  ",None,None,4,https://www.bu.edu//academics/com/courses/com-em-831/
COM EM 847,"Time, Place & Social Data: Advanced Issues in Large Scale Analysis & Visualization","This course provides a specialized emphasis on data processing and predictive  modeling through time series and panel regression modeling.  In doing so, it  trains students in advanced social-scientific methods for large-scale data  analysis and visualization.  This course also incorporates approaches that  integrate the analysis and graphing of social data and corresponding networks  using both time and spatial models.  ",None,None,4,https://www.bu.edu//academics/com/courses/com-em-847/
