Course Code,Course Name,Course Description,Hub Units,Prerequisites,Credits,link
COM CM 180,Understanding Media,"During the semester, Understanding Media course will trace the development,    survey the literature, and explore the impact of media--whether traditional,   interactive, social or mobile--examining conceptual, theoretical, and  practical  aspects of today's global media environment. The course will also   review the  factors that have shaped the nature of contemporary media,  including their  content, uses, functions, and audiences. Understanding Media   provides students  with a broad understanding of the social and psychological   impact of mediated  communication and empowers students to think originally   and critically about  how media technologies evolve, function, advance, and   shape society, industry,  and professional practices. It makes dynamic   connections between theoretical  frameworks, everyday life, and industry   practices in a manner that can engage  undergraduate students in Advertising,   Media Science, and Public Relations and  can inform them of the significance   of using strategic approaches to  constructing, disseminating, and evaluating   media initiatives and media  messages. 4 cr. Either sem.",None,None,4,https://www.bu.edu//academics/com/courses/com-cm-180/
COM CM 211,Professional Presentation,"Students will learn the essentials of effective presentation, from   preparation,  audience analysis, and content development to critical  thinking  when  presenting. Students will incorporate theories and skills of  effective   communication in a variety of contexts (e.g., common business and  social   settings). Effective Fall 2018, this course fulfills a single unit in the  following BU  Hub area:  Oral and/or Signed Communication. 4 cr. Either sem.", Oral and/or Signed Communication,None,4,https://www.bu.edu//academics/com/courses/com-cm-211/
COM CM 215,Principles and Practices of Public Relations,"An introduction to the field of public relations: its theoretical origins,    scope, and principles. Discussion focuses on researching problems, setting    objectives, identifying audiences, designing messages, choosing   communication  channels, and evaluating results for all types of   organizations. Ethical  decision making, on-line communication, and career   opportunities are also  analyzed case studies in the field. The format is a   combination of informal  lecture and small-group discussion, case analysis,   and guest lecture. Open the  freshmen. 4 cr. Either sem.",None,None,4,https://www.bu.edu//academics/com/courses/com-cm-215/
COM CM 217,Introduction to Advertising,"Explores the history, nature, function, and social and economic aspects of    advertising: ethical responsibilities, psychological appeals, marketing,   media  research, product analysis, creative strategies, and agency operation.   Students  prepare comprehensive advertising plans, including marketing   strategy and  speculative advertising campaigns. Open to freshmen. 4 cr. Either sem.",None,None,4,https://www.bu.edu//academics/com/courses/com-cm-217/
COM CM 280,Persuasion Theory,"This course examines the role that communication--and especially mediated     communication--play in the social influence process.  This course is   organized   around theoretical persuasive approaches to the study of   attitudinal and   behavioral change.  It uses these theories as a basis for   teaching about   persuasive strategies that can be implemented to lead to   changes in others'   attitudes and behaviors--whether in the areas of media   campaigns, marketing   communication, advertising, or public relations.  The   course includes   discussion of the strategies that ""professional persuaders""   use when peddling   their ideas, products, services, and philosophies. Pre-req: COM CM180. 4  cr.  Either sem.",None,COM CM 180.,4,https://www.bu.edu//academics/com/courses/com-cm-280/
COM CM 313,Corporate Communication,"Explores the trends and issues affecting corporations, crisis management,  public affairs communication, consumer affairs, employee relations,  environmental problems, and issues of multinationals. Uses case studies. ",None,CM215,4,https://www.bu.edu//academics/com/courses/com-cm-313/
COM CM 321,Communication Research Methods,"CM321 Communication Research Methods is an introduction to the social scientific  method of inquiry and the fundamental concepts and processes of social  scientific methods that are used in media science, advertising, and public  relations. Assorted research methods are covered, including both quantitative  and qualitative. Also included are literature review, research design, research  execution, quantitative and qualitative data analysis, and reporting of  findings. ",None,COM CM180,4,https://www.bu.edu//academics/com/courses/com-cm-321/
COM CM 331,Writing for Communication,"Intensive exposure to some of the basic writing formats in the communications    profession: news releases, letters, features, and profiles. Lead writing,    editing, and techniques of interviewing. Extensive writing and rewriting.    Develops basic writing skills for different audiences. Effective Fall 2018,   this course fulfills a  single unit in the following BU Hub area: Writing- Intensive Course.", Writing-Intensive Course,"CO201 AND First Year Writing Seminar (e.g., WR 100 or WR 120).",4,https://www.bu.edu//academics/com/courses/com-cm-331/
COM CM 334,Advertising in the U.K.,"Focuses on London's stellar reputation for creative and production  excellence in advertising;  examines how the advertising is shaped by the  anti-sell, irony-modulated consumer culture,  and emphasizes the way that  deifying research risks diluting creative. Effective Fall 2019, this  course fulfills a single  unit in the following BU Hub areas: Philosophical Inquiry and Life's   Meanings, Aesthetic Exploration.", Philosophical Inquiry and Life's Meanings Aesthetic Exploration,None,4,https://www.bu.edu//academics/com/courses/com-cm-334/
COM CM 335,Advertising Strategy,"Provides an understanding of the ways in which advertising is effectively planned to achieve the objectives set in the overall marketing plan. This course examines the disciplines of agency account planning, research, and client brand management, enabling students to assess creative work critically in terms of strategy, objectives, and execution. ",None,None,4,https://www.bu.edu//academics/com/courses/com-cm-335/
